CommunityArea,Region,Population,Families with Children (%),Single-Mother Headed Households (%),Single Parent Headed Households (%),Seniors Living Alone (%),Households with Youth (%),Grandparents Raising Grandchildren (%),Less than HS Grad (%),HS Grad or Higher (%),College Educated (%),Disabled (%),Foreign-Born (%),Limited English Proficiency (%),Unemployment (%),Median HH Income ($),Per Capita Income ($),Private Medical Insurance (%),Public Medical Insurance (%),Uninsured (%),Uninsured Among Employed (%),Uninsured Among Unemployed (%),Vacant Residence (%),Owner-Occupied Residence (%),Renter-Occupied Residence (%),Moved to Residence Since 2010 (%),Moved to Residence 2000-2009 (%),Moved to Residence 1990-1999 (%),Moved to Residence 1980-1989 (%),No Car Ownership (%),No Heat (%),No Landline Phone (%),Live in Crowded Housing (%),Median House Value ($),Income Spent on Housing (%),Age <5 (%),Age 65+ (%),Age <18 (%),Male (%),Female (%),Latino (%),"White, Non-Hispanic (%)","Black, Non-Hispanic (%)","Asian, Non-Hispanic (%)",Households Receiving SNAP Benefits (%),Walk to Work (%),Bike to Work (%),Drive Car to Work (%),Public Transportation to Work (%),Not US Citizen (%),Children Living in Poverty (%),Households in Poverty (%),Hardship Index 2012,Educational Opportunity (COI),"Low Income Student Enrollment, Chicago Public Schools (%)",5-Year Dropout Rate (%),"Juvenile Arrest Rate (per 1,000)","Juvenile Marijuana Arrest Rate (per 1,000)","Juvenile Victim of Crime Rate (per 1,000)",2000 Socioeconomic Change Index,2010 Socioeconomic Change Index,"Socioeconomic Change Index, Difference 2000-2010","Total Population Change, 2000 - 2012","Change in 25-34 Year Olds with College Degree 2000, to 2012","Property Crime Rate, 2014 (per 1,000)","Violent Crime Rate, 2014 (per 1,000)","Shooting Incidents, 2014",Food Insecure (%),RT_CT_15_19YO_PerThou,"Foreclosure Rate, 2013 (% Parcels)","24-month Vacancy Rate, 2013 (%)","Child Opportunity Index, 2014",Overweight or Obese CPS students (%),Obesity Prevalence Estimate (%),Children Uninsured (%),Stroke Mortality,CHD Mortality,HeartDis Mortality,Cancer Mortality,LungCancer Mortality,BreastCancer Mortality,CervicalCancer Mortality,ColorectalCancer Mortality,ProstateCancer Mortality,Diabetes_relt Mortality,alzheimers Mortality,HIV Mortality,Accidents Mortality,Homicides Mortality,Firearm_relt Mortality,MotorVehicle Mortality,suicides Mortality,drug_ind Mortality,Alchohol_ind Mortality,Infant Mortality,Asthma Mortality,COPD Mortality,Diet-Related Mortality,"Annual Years of Potential Life Lost (per 100,000 residents)","Teen Birth Rate (per 1,000)",Preterm Births (%),Mothers Receiving Prenatal Care During First Trimester (%),"Children with Elevated Lead Blood Levels, 2014 (%)","Vaccine-Preventable Diseases Reported, 2000-2014",Onsite Release of Hazardous Air Pollutants (lbs),"Performing Arts and Amusement Licenses, 2013 (per 1,000 residents)","Block Parties, 2012 (per 1,000 Residents)","Change in Median Home Value, 2006-2012 (%)"
Rogers Park ,1,57559,22.04,28.34,39.47,6.33,24.70,18.16,18.16,81.84,40.39,8.40,29.01,16.08,8.66,38422,23931,50.91,25.38,25.38,29.80,56.88,14.08,29.17,70.83,18.09,65.15,10.55,3.29,32.57,1.56,5.18,3.92,251483,39.15,7.41,7.52,20.02,40.22,39.76,24.81,37.91,27.21,6.73,17.61,7.06,1.54,49.39,40.87,19.77,33.78,23.59,39,-0.183,95.18,34.47,28.87,4.12,24.75,1,3,2,-3185,1474,20.22,5.33,21,16.80,24.00,2,2.6,0.015,41.2,21.7,0.69,32.7,196.9,264,186.2,42.4,27.6,1.5,21.7,29.6,79,13.8,11.3,26,5.1,5.1,6.7,7.5,9.6,3.9,5,1.3,47.5,406.8,6793,32.8,11.6,68.9,3.00,20,18,0.09,0.28,
West Ridge ,1,73705,33.80,16.66,22.63,9.19,36.67,27.63,20.75,79.25,35.78,10.01,45.16,28.15,8.81,49134,24682,49.68,23.61,23.61,29.96,52.65,11.71,50.46,49.54,9.93,57.17,16.83,7.97,17.87,0.48,2.34,2.61,261943,40.18,8.00,12.62,25.85,36.25,37.91,20.70,43.12,10.42,23.18,16.03,6.10,0.94,73.79,17.83,23.77,28.62,17.15,46,0.024,83.28,30.53,10.86,1.53,13.32,11,7,-4,-406,-642,16.85,2.95,4,12.92,28.89,1.4,1.6,0.150,39.5,20.4,0.41,34.7,131.1,190.2,157.8,39.4,24.5,0.9,16.7,19.6,58.3,13.2,5.7,22,5.4,5.4,8.6,5.5,4,1.9,4.5,2.8,24.9,292.2,6081,29.4,10.6,70.2,4.57,56,0,0.05,0.69,-33.7
Uptown ,1,54995,11.58,31.21,39.78,8.99,13.11,15.96,11.83,88.17,52.00,10.82,25.02,13.68,8.93,44642,37002,59.78,20.35,20.35,21.34,49.62,9.26,32.23,67.77,17.11,63.88,13.03,3.72,42.61,1.77,6.27,2.37,288800,32.46,4.89,10.31,11.93,45.86,42.21,12.75,52.31,20.11,11.64,16.65,5.40,3.14,42.87,46.66,13.35,31.49,24.02,20,0.454,81.74,11.68,17.52,2.72,19.96,3,9,6,-4545,2100,20.83,3.97,10,16.29,36.48,1,2,0.358,38.8,21.1,1.14,43.4,202.4,284.2,172.9,44.2,25.6,1.2,18.6,28.2,88.5,18.7,15,27,5,5,3.6,9.1,14.5,11.4,7.6,3.3,45.6,416.3,8951,40.4,8.6,74,2.01,20,0,0.33,0.33,-21.8
Lincoln Square ,1,38622,20.00,17.48,21.68,5.13,21.59,18.98,13.39,86.61,54.37,8.09,26.89,17.01,8.24,61880,39608,68.44,16.94,16.94,18.38,49.83,9.63,39.84,60.16,14.86,59.99,12.96,7.35,20.89,1.39,2.20,1.78,378655,30.06,7.37,9.13,16.39,41.37,42.24,19.37,63.00,4.57,10.52,7.09,3.95,1.85,58.57,34.23,13.54,16.23,10.86,17,0.450,81.85,20.08,23.09,1.98,17.17,11,11,0,-3289,1902,17.70,2.10,2,9.82,23.16,0.7,1.4,0.496,32.7,14.1,0.51,30.1,138,200.3,164.9,44.1,27.8,0.6,8.9,22.4,53.7,14.6,6,22.5,2.5,2.5,5.3,6.8,6.4,5.8,4.2,1,31.1,301.4,5604,29.1,11.5,76.8,1.88,15,0,0.21,1.17,-25.7
North Center ,2,33418,22.89,10.27,13.44,5.18,23.49,3.41,4.54,95.46,68.13,5.86,11.42,6.26,5.21,90876,58895,84.86,8.92,8.92,9.68,37.99,10.45,52.69,47.31,15.32,57.87,12.33,6.81,12.13,0.26,1.32,0.22,508264,25.04,9.26,7.48,18.68,40.16,41.16,13.09,78.84,1.42,4.17,3.16,3.99,2.53,63.38,29.10,3.88,1.97,7.52,6,0.647,49.76,6.09,13.29,1.99,15.28,11,13,2,639,1452,23.72,1.82,0,7.54,,0.6,1.9,0.578,32.2,17.4,0.17,41.9,133.7,195,157.7,53.7,20.4,0.8,24.4,18.7,48.9,12,3.6,18,1,1,0.8,7.3,6.1,6.1,4,1,36.5,306.7,3897,27.3,9.2,85.6,1.43,16,10198,0.26,3.52,0.7
Lake View,2,96539,11.30,9.90,14.58,5.83,11.56,2.90,2.59,97.41,77.70,5.83,11.98,4.98,4.74,81379,59964,84.90,9.27,9.27,8.87,35.71,9.29,37.45,62.55,20.74,62.62,9.36,4.26,35.69,1.62,2.47,0.54,434188,26.62,5.08,6.81,10.15,44.17,45.68,7.53,79.80,3.69,6.93,3.18,5.50,1.52,40.17,51.33,5.76,7.15,11.39,5,0.719,47.77,13.27,17.41,1.74,11.03,11,11,0,-1030,-2002,28.59,3.74,6,8.86,6.36,0.4,1.9,0.581,30,13.3,0.29,26.8,119.8,172.5,137.3,37.2,20.5,1.3,14,21.2,41.6,13.7,5.7,20.1,1.3,1.3,2.6,8.7,7.1,6.9,3,1.6,20.8,256.2,3338,7.9,10.2,83.5,1.18,34,65,0.68,0.51,-4.2
Lincoln Park,2,64631,14.94,12.31,16.14,6.91,15.20,1.73,3.63,96.37,82.20,5.12,10.21,3.19,5.07,93719,71094,89.18,5.45,5.45,5.68,21.52,10.37,45.54,54.46,20.21,58.31,11.33,5.17,30.44,0.89,2.33,0.54,544255,27.39,5.02,7.71,13.75,41.67,44.58,6.56,81.48,4.23,5.74,3.59,7.46,2.13,43.15,44.17,5.07,5.75,12.31,2,0.845,39.92,15.72,11.48,1.32,17.56,11,11,0,-2322,-4106,35.92,2.68,2,9.04,,0.4,1.5,0.727,27,11.5,0.36,29.9,126.1,193.8,149.2,35.7,13.3,0,16,29.7,49.9,24.7,2.8,16.3,1.1,1.1,1.9,7.3,7,4.2,3.6,1.9,29.1,296.2,2878,1.5,12.6,81.6,0.33,23,7,0.64,0.45,-13.8
Near North Side ,3,80516,6.28,29.94,32.36,10.16,6.59,9.13,2.49,97.51,76.53,6.64,17.58,5.15,6.98,77065,86780,83.38,7.11,7.11,5.64,34.75,16.86,44.85,55.15,20.87,59.71,10.70,5.40,43.32,1.39,2.75,1.28,444210,27.30,3.00,15.31,7.32,42.18,50.50,5.58,71.76,9.47,10.84,4.60,32.74,1.34,32.68,26.66,8.92,29.93,12.87,1,0.823,49.46,6.05,80.07,2.85,37.43,9,11,2,7382,5385,54.02,4.81,8,10.23,13.16,0.3,1.4,0.770,37.2,20.2,1.30,21.9,83.6,131.3,138.2,35.8,24.6,1.9,13,9.4,25.1,13.8,1.2,17.2,1.2,1.2,2.5,9.6,8.3,5,5.7,0.9,15.4,202.2,4317,24.3,11,77.5,1.35,24,6416,1.72,0.03,2.7
Edison Park ,1,11135,23.02,12.66,14.92,11.90,24.43,12.76,7.39,92.61,41.96,10.19,12.97,5.76,6.77,82441,40207,85.49,7.97,7.97,10.95,38.31,6.60,79.87,20.13,8.88,42.22,21.12,8.55,11.47,0.22,1.12,0.97,350167,18.44,3.21,14.97,20.26,36.95,42.79,4.47,92.22,0.00,2.16,1.17,5.19,0.23,82.44,11.55,2.50,2.47,3.30,8,0.774,24.93,,1.23,0.00,6.17,11,11,0,-30,131,6.26,0.44,0,8.44,,0.6,1.1,0.607,32.8,14.4,0.00,32,109.8,167.5,173.2,39.7,13.5,1.6,15.7,22.1,48.5,17.8,1.9,22.5,0,0,8.7,9,3.9,3.1,5.7,0,19.3,259,5488,3.9,0,84.8,3.48,2,0,0.37,3.47,-35.6
Norwood Park,1,37429,25.00,13.68,17.05,15.38,26.67,14.00,10.85,89.15,32.82,11.52,22.13,13.39,8.78,69834,33449,79.63,9.28,9.28,10.45,35.17,5.74,80.90,19.10,3.27,41.72,21.82,13.54,9.78,0.14,1.69,0.48,322725,24.54,5.84,19.45,20.28,37.84,41.88,12.62,81.50,0.73,4.30,4.01,1.32,0.06,87.36,10.73,6.79,4.47,5.46,21,0.667,46.90,17.79,11.10,3.40,10.31,8,7,-1,-1074,-158,10.10,1.02,0,8.44,,0.9,0.8,0.605,30.3,14.4,0.35,39.4,139.8,204.9,178.5,47.7,24.4,0.8,19.3,16.8,47.5,12.7,1.1,25.1,5.4,5.4,5.8,11.1,9.5,4.3,3.1,2,22.5,312.4,5936,6.8,10,84.8,1.67,11,0,0.02,2.09,-38.7
