COMMUNITY AREA NAME,HARDSHIP INDEX 2010,Childhood Opportunity Index - Overall,Gentrification Index 2000 to 2010,Life Expectancy at Birth 2010,Change in 25-34 w College Degree 2000 - 2011,Low Birth Weight Rate (%) 2009,"Infant Mortality Rate (Per 1,000 Live Births) 2010",Owner-Occupied housing % 2012,College Education % 2012,Families in poverty % 2012,% Households with Food Stamp/SNAP Benefits (past 12 months)  2011,Unemployment Rate 2011,Stroke,CHD,Heart,Cancer,LungCan,Diabetes_relt,Homicide,Unintentional Injury,Premature Mortality Rate (YPLL per 100k 2011),Premature Diabetes Mortality Rate (YPLL per 100k 2011),CHD Premature Mortality Rate (YPLL per 100k 2011)
Rogers Park,39,1.0225135,2,77.3,"1,474",11,6.4,29,40,22,16.90%,7.90%,32.7,196.9,264,186.2,42.4,79,5.1,26,6793,328,
West Ridge,46,1.168189,-4,80.3,-642,8.1,5.1,49,36,16,14.10%,9.10%,34.7,131.1,190.2,157.8,39.4,58.3,5.4,22,6081,405,
Uptown,20,1.405651,6,76,"2,100",8.3,6.5,32,52,18,15.30%,8.50%,43.4,202.4,284.2,172.9,44.2,88.5,5,27,8951,744,
Lincoln Square,17,1.5407525,0,80.5,"1,902",8.1,3.8,38,54,8,6.20%,6.90%,30.1,138,200.3,164.9,44.1,53.7,2.5,22.5,5604,350,
North Center,6,1.644164,2,81.5,"1,452",9.1,2.7,48,68,2,3.00%,4.60%,41.9,133.7,195,157.7,53.7,48.9,1,18,3897,212,
Lake View,5,1.6632905,0,81.9,"-2,002",6.3,2.2,37,78,4,2.70%,4.70%,26.8,119.8,172.5,137.3,37.2,41.6,1.3,20.1,3338,101,
Lincoln Park,2,1.9234065,0,81.3,"-4,106",6.6,2.4,43,82,4,3.40%,4.70%,29.9,126.1,193.8,149.2,35.7,49.9,1.1,16.3,2878,227,
Near North Side,1,1.9053565,2,85.2,"5,385",8.6,6.5,45,76,8,5.20%,6.20%,21.9,83.6,131.3,138.2,35.8,25.1,1.2,17.2,4317,215,
Edison Park,8,1.5842645,0,81,131,7.9,4.6,77,42,1,0.90%,7.20%,32,109.8,167.5,173.2,39.7,48.5,0,22.5,5488,128,
Norwood Park,21,1.5495945,-1,80.9,-158,4.9,4.4,79,31,4,2.90%,7.90%,39.4,139.8,204.9,178.5,47.7,47.5,5.4,25.1,5936,364,
