key,units,period,geography,category,description,source,technical notes
ID,,,Community Area,Identification,,,
Community Area,,,Community Area,Identification,,,
Region,,,Community Area,Geofilter,,,
ZIP Code,,,Community Area,Geofilter,,,
Infant Mortality,"per 1,000 Live Births",,Community Area,Child Health,,,
Child Uninsurance Rate,%,,Community Area,Child Health,,,
Vaccine-Preventable Diseases Reported,,2000-2014,Community Area,Child Health,,,
Overweight or Obese CPS students,%,,Community Area,Child Health,,,
Teen Birth Rate,"per 1,000 Residents",,Community Area,Child Health,,,
Preterm Births,%,,Community Area,Child Health,,,
Mothers Receiving Prenatal Care During First Trimester,%,,Community Area,Child Health,,,
Chlamydia Prevalence,% of 15-19 Year Old Females,,Community Area,Child Health,,,
Children with Elevated Lead Blood Levels,%,2014,Community Area,Child Health,"According to the CDC, no level of lead in the blood is safe for children. An elevated blood level is 10 or more micrograms of lead in a deciliter (?g/dL) of blood.",Chicago Department of Public Health,
Life Expectancy at Birth,,2010,Community Area,Mortality,,,
Annual Years of Potential Life Lost,"per 100,000 Residents",,Community Area,Mortality,"Years of potential life lost (YPLL) is a measure of premature mortality, recognizing that death at a younger age implies a greater loss of productive years than death in old age. YPLL is calculated for each person dying before age 75 by subtracting the age at death from 75, and then summed within each community area. A higher YPLL indicates more premature death. ",,
Obesity Prevalence Estimate,%,,Community Area,Mortality,,,
Stroke Mortality,"per 100,000 Residents",,Community Area,Mortality,,,
Coronary Heart Disease Mortality,"per 100,000 Residents",,Community Area,Mortality,,,
Heart Disease Mortality,"per 100,000 Residents",,Community Area,Mortality,,,
Cancer Mortality,"per 100,000 Residents",,Community Area,Mortality,,,
Lung Cancer Mortality,"per 100,000 Residents",,Community Area,Mortality,,,
Breast Cancer Mortality,"per 100,000 Residents",,Community Area,Mortality,,,
Cervical Cancer Mortality,"per 100,000 Residents",,Community Area,Mortality,,,
Colorectal Cancer Mortality,"per 100,000 Residents",,Community Area,Mortality,,,
Prostate Cancer Mortality,"per 100,000 Residents",,Community Area,Mortality,,,
Diabetes Related Mortality,"per 100,000 Residents",,Community Area,Mortality,,,
Alzheimers Mortality,"per 100,000 Residents",,Community Area,Mortality,,,
HIV/AIDS Mortality,"per 100,000 Residents",,Community Area,Mortality,,,
Accidents Mortality,"per 100,000 Residents",,Community Area,Mortality,,,
Homicides Mortality,"per 100,000 Residents",,Community Area,Mortality,,,
Firearm Related Mortality,"per 100,000 Residents",,Community Area,Mortality,,,
Motor Vehicle Mortality,"per 100,000 Residents",,Community Area,Mortality,,,
Suicides Mortality,"per 100,000 Residents",,Community Area,Mortality,,,
Drug Induced Mortality,"per 100,000 Residents",,Community Area,Mortality,,,
Alcohol Induced Mortality,"per 100,000 Residents",,Community Area,Mortality,,,
Asthma Mortality,"per 100,000 Residents",,Community Area,Mortality,,,
Pulmonary Disease Mortality,"per 100,000 Residents",,Community Area,Mortality,,,
Diet-Related Mortality,"per 100,000 Residents",,Community Area,Mortality,,,
Hardship Index,,2012,Community Area,Social Indices,,,
Educational Opportunity Index,,,Community Area,Social Indices,,,
Child Opportunity Index,,2014,Community Area,Social Indices,,,
Race-Ethnicity Diversity Index,,,Community Area,Social Indices,,,
Income Diversity Index,,,Community Area,Social Indices,,,
Population,,,Community Area,Demographic,,,
"Change in Population, 2000-2012",Residents,2000-2012,Community Area,Demographic,,,
"Change in 25-34 Year Olds with College Degree, 2000-2012",Residents,2000-2012,Community Area,Demographic,,,
Socioeconomic Index,,2010,Community Area,Demographic,,,
"Socioeconomic Index Change, 2000-2010",,2000-2010,Community Area,Demographic,,,
Latino,%,,Community Area,Demographic,,,
"White, Non-Hispanic",%,,Community Area,Demographic,,,
"Black, Non-Hispanic",%,,Community Area,Demographic,,,
"Asian, Non-Hispanic",%,,Community Area,Demographic,,,
Foreign-Born,%,,Community Area,Demographic,,,
Not US Citizen,%,,Community Area,Demographic,,,
Disabled,%,,Community Area,Demographic,,,
Limited English Proficiency,%,,Community Area,Demographic,,,
Age <5,%,,Community Area,Demographic,,,
Age <18,%,,Community Area,Demographic,,,
Age 65+,%,,Community Area,Demographic,,,
Families with Children,%,,Community Area,Family Structure,,,
Single-Mother Headed Households,%,,Community Area,Family Structure,,,
Single Parent Headed Households,%,,Community Area,Family Structure,,,
Seniors Living Alone,%,,Community Area,Family Structure,,,
Households with Youth,%,,Community Area,Family Structure,,,
Grandparents Raising Grandchildren,%,,Community Area,Family Structure,,,
Median HH Income,$,,Community Area,Economic,,,
Per Capita Income,$,,Community Area,Economic,,,
Unemployment,%,,Community Area,Economic,,,
Households Receiving SNAP Benefits,%,,Community Area,Economic,,,
Households in Poverty,%,,Community Area,Economic,,,
Children Living in Poverty,%,,Community Area,Economic,,,
Food Insecure,%,,Community Area,Economic,,,
Less than HS Grad,%,,Community Area,Education,,,
HS Grad or Higher,%,,Community Area,Education,,,
College Educated,%,,Community Area,Education,,,
Low Income Student Enrollment in Chicago Public Schools,%,,Community Area,Education,,,
5-Year Dropout Rate,%,,Community Area,Education,,,
Median Home Value,$,,Community Area,Housing,,,
"Change in Median Home Value, 2006-2012",%,,Community Area,Housing,,,
Vacant Residence,%,,Community Area,Housing,,,
Owner-Occupied Residence,%,,Community Area,Housing,,,
Renter-Occupied Residence,%,,Community Area,Housing,,,
Moved to Residence Since 2010,%,,Community Area,Housing,,,
Moved to Residence 2000-2009,%,,Community Area,Housing,,,
Moved to Residence 1990-1999,%,,Community Area,Housing,,,
Moved to Residence 1980-1989,%,,Community Area,Housing,,,
No Heat,%,,Community Area,Housing,,,
No Landline Phone,%,,Community Area,Housing,,,
Live in Crowded Housing,%,,Community Area,Housing,,,
Income Spent on Housing,%,,Community Area,Housing,,,
Foreclosure Rate,% of Parcels,2013,Community Area,Housing,,,
24-month Vacancy Rate,%,2013,Community Area,Housing,,,
No Car Ownership,%,,Community Area,Built Environment,,,
Walk to Work,%,,Community Area,Built Environment,,,
Bike to Work,%,,Community Area,Built Environment,,,
Drive Car to Work,%,,Community Area,Built Environment,,,
Public Transportation to Work,%,,Community Area,Built Environment,,,
Performing Arts and Amusement Licenses,"per 1,000 Residents",2013,Community Area,Built Environment,,,
Block Parties,"per 1,000 Residents",2012,Community Area,Built Environment,,,
Property Crime Rate,"per 1,000 Residents",2014,Community Area,Crime,,,
Violent Crime Rate,"per 1,000 Residents",2014,Community Area,Crime,,,
Shooting Incidents,,2014,Community Area,Crime,,,
Juvenile Arrest Rate,"per 1,000 Juveniles",,Community Area,Crime,,,
Juvenile Marijuana Arrest Rate,"per 1,000 Juveniles",,Community Area,Crime,,,
Juvenile Victim of Crime Rate,"per 1,000 Juveniles",,Community Area,Crime,,,
Private Medical Insurance,%,,Community Area,Health Insurance,,,
Uninsured,%,,Community Area,Health Insurance,,,
Uninsured Among Employed,%,,Community Area,Health Insurance,,,
Uninsured Among Unemployed,%,,Community Area,Health Insurance,,,
Tract,,,Census Tract,Identification,,,
Special area,,,Census Tract,Identification,,,
County,,,Census Tract,Geofilter,,,
City,,,Census Tract,Geofilter,,,
ZIP Code,,,Census Tract,Geofilter,,,
Chicago Community Area,,,Census Tract,Geofilter,,,
Hardship Index,,2010-2014,Census Tract,Social Indices,"The Hardship Index is a composite score reflecting hardship in the community (higher values indicate greater hardship). It incorporates unemployment, dependency (minors and elderly), education, per capita income, crowded housing, and poverty. See technical notes for details.","Presence Health, based on American Community Survey",
Race-Ethnicity Diversity Index,,2010-2014,Census Tract,Social Indices,"The Race-Ethnicity Diversity Index measures the probability that any two residents of an area belong to the same race and ethnicity. A score of 0 represents a perfectly homogenous community; the higher the score, the more diverse the area. The highest possible score is 0.875, not 1. The index includes Non-Hispanic White, Non-Hispanic Black, Hispanic/Latino, Asian, American Indian/Alaskan, Pacific Islander/Hawaiian, other, and two or more races. ","Presence Health, based on American Community Survey, Table B03002",
Gini index of income inequality,,2010-2014,Census Tract,Social Indices,"The Gini index measures how much the distribution of income deviates from a fully equal distribution. A value of 0 represents perfect equality (every household has the same income), and a value of 100 represents perfect inequality (one household has all the income). The corresponding Gini index for the United States as a whole is 0.476.","American Community Survey, Table B19083",
Population,,2010-2014,Census Tract,Demographic,Average population over the time period.,"American Community Survey, Table B01001",
"Population Change, 2000-2010",%,2000-2010,Census Tract,Demographic,,2000/2010 Census Summary File,
Male,%,2010-2014,Census Tract,Demographic,,"American Community Survey, Table B01001",
Female,%,2010-2014,Census Tract,Demographic,,"American Community Survey, Table B01001",
Median age,,2010-2014,Census Tract,Demographic,,"American Community Survey, Table B01002",
Age <18,%,2010-2014,Census Tract,Demographic,,"American Community Survey, Table B01001",
Age 18-64,%,2010-2014,Census Tract,Demographic,,"American Community Survey, Table B01001",
Age 65+,%,2010-2014,Census Tract,Demographic,,"American Community Survey, Table B01001",
White,%,2010-2014,Census Tract,Demographic,Non-Hispanic White,"American Community Survey, Table B02001/B03002",
Black,%,2010-2014,Census Tract,Demographic,Non-Hispanic Black or African American,"American Community Survey, Table B02001/B03002",
American Indian,%,2010-2014,Census Tract,Demographic,American Indian and Alaska Native,"American Community Survey, Table B02001",
Asian,%,2010-2014,Census Tract,Demographic,Asian (excluding Pacific Islander),"American Community Survey, Table B02001",
Hispanic/Latino,%,2010-2014,Census Tract,Demographic,Hispanic or Latino (of any race),"American Community Survey, Table B03002",
Native,%,2010-2014,Census Tract,Demographic,Percent of residents who were U.S. citizens at the time of birth,"American Community Survey, Table B05002",
Foreign born,%,2010-2014,Census Tract,Demographic,Percent of residents who were not U.S. citizens at the time of birth (includes naturalized citizens),"American Community Survey, Table B05002",
Non-citizens,%,2010-2014,Census Tract,Demographic,Percent of residents who are not U.S. citizens (including documented and undocumented residents),"American Community Survey, Table B05002",
Speak Spanish at home,%,2010-2014,Census Tract,Demographic,% of residents 5+ who speak primarily Spanish at home,"American Community Survey, Table B16004",
Speak English poorly,%,2010-2014,Census Tract,Demographic,"% of residents 5+ who rate their ability to speak English less than ""well""","American Community Survey, Table B16004",
Households with Social Security income,%,2010-2014,Census Tract,Safety Net,Households reporting Social Security income over the past 12 months,"American Community Survey, Table B19055",
Households with food stamps/SNAP,%,2010-2014,Census Tract,Safety Net,Households receiving cash public assistance or food stamps/Supplemental Nutrition Assistance Program (SNAP) over the past 12 months,"American Community Survey, Table B19058",
Disability (children),%,2010-2014,Census Tract,Safety Net,Percentage of residents <18 with a disability,"American Community Survey, Table B18135",
Disability (working-age adults),%,2010-2014,Census Tract,Safety Net,Percentage of residents 18-64 with a disability,"American Community Survey, Table B18135",
Disability (elderly),%,2010-2014,Census Tract,Safety Net,Percentage of residents 65+ with a disability,"American Community Survey, Table B18135",
Uninsured,%,2010-2014,Census Tract,Health Insurance,Non-institutionalized civilians,"American Community Survey, Table S2701",
Children Uninsured,%,2010-2014,Census Tract,Health Insurance,Non-institutionalized civilians under 18,"American Community Survey, Table S2701",
Private Health Insurance,%,2010-2014,Census Tract,Health Insurance,Non-institutionalized civilians,"American Community Survey, Table S2701",
Employer-Based Health Insurance,%,2010-2014,Census Tract,Health Insurance,Non-institutionalized civilians,"American Community Survey, Table S2701",
Medicare,%,2010-2014,Census Tract,Health Insurance,Non-institutionalized civilians,"American Community Survey, Table S2701",
Medicaid,%,2010-2014,Census Tract,Health Insurance,"Non-institutionalized civilians with Medicaid or other public assistance, e.g. CHIP","American Community Survey, Table S2701",
High school graduation rate,%,2010-2014,Census Tract,Education,Residents 25 or older with at least a high school degree: including GED,"American Community Survey, Table B15003",
College graduation rate,%,2010-2014,Census Tract,Education,Residents 25 or older with at least a bachelor's degree: not including Associate's degree,"American Community Survey, Table B15003",
Disconnected youth,% of residents 16-19,2010-2014,Census Tract,Education,Percent of residents 16-19 years old who are neither working nor enrolled in school,"American Community Survey, Table B14005",
Unemployment,%,2010-2014,Census Tract,Economic,% of residents in the civilian labor force who are actively seeking employment,"American Community Survey, Table B23025",
Labor force participation,%,2010-2014,Census Tract,Economic,"Residents 16 and older who are currently employed, enlisted in the armed forces, or actively seeking employment","American Community Survey, Table B23025",
Households with earnings,%,2010-2014,Census Tract,Economic,Households reporting earnings from any source over the past 12 months,"American Community Survey, Table B19051",
Household median income,$,2010-2014,Census Tract,Economic,"Includes households with no income, in 2014 dollars","American Community Survey, Table B19013",
Household mean income,$,2010-2014,Census Tract,Economic,"Includes households with no income, in 2014 dollars","American Community Survey, Table B19025",
