Tract,County,City,ZIP Code,Chicago Community Area,Hardship Index,Population,Male,Female,Median age,Age <18,Age 18-64,Age 65+,White,Black,American Indian,Asian,Hispanic/Latino,Housing units,Occupied,Vacant,Households,Family households,Female-headed family households,Living alone,Average household size,Women 15-50 with recent birth,% of births to unmarried women,High school graduation rate,College graduation rate,Disability (children),Disability (working-age adults),Disability (elderly),Native,Foreign born,Non-citizens,Speak Spanish at home,Speak English poorly,Labor force participation,Unemployment,Drive alone to work,Public transportation to work,Bike to work,Walk to work,Mean travel time to work,Households with earnings,Households with Social Security income,Households with food stamps/SNAP,Household median income,Household mean income,Per capita income,Median earnings for workers,"Median earnings, male","Median earnings, female",Female earnings differential,Uninsured,Children Uninsured,Private Health Insurance,Employer-Based Health Insurance,Medicare,Medicaid,"Poverty rate, families","Poverty rate, families with children","Poverty rate, families with children <5",Poverty rate,Poverty rate <5,Child poverty rate,Working-age adult poverty rate,Elderly poverty rate,"Household median income, Black","Household median income, Asian","Household median income, Non-Hispanic White","Household median income, Hispanic",White-Black household income differential,White-Hispanic household income differential,Single housing unit,2-4 housing units in building,5+ housing units in building,Built 1979 or earlier,Built 1939 or earlier,Owner occupied,Renter occupied,Moved in before 1990,Utility gas heat,Electric heat,Combustion fuel heat,No heat,Lacking complete plumbing,No telephone service,Median year structure built,Median gross rent,Rent-burdened,Severely rent-burdened,Median value,Median selected monthly owner costs,Housing units with mortgage,Population (2010),"Population Change, 2000-2010",Household Median income (2005-2009),"Household median income, 5-year change",Unemployment (2005-2009),"Unemployment, 5-year change",Median value (2005-2009),"Median value, 5-year change",Poverty rate (2005-2009),Child poverty rate (2005-2009),"Poverty rate, 5-year change","Child poverty rate, 5-year change",Median gross rent (2005-2009),"Median gross rent, 5-year change",Walk Score,Disconnected youth,Crowded housing
17019000200,Champaign County,Champaign,61820,,41,1495,40.468,59.532,40.7,23.01,66.421,10.569,12.107,79.398,0,2.742,3.612,897,84.95,15.05,762,49.081,29.79,44.619,1.94,7.397,100,91.145,15.207,2.907,21.414,25.316,92.977,7.023,2.408,2.566,0.555,72.25,8.197,67.73,7.27,0.893,4.974,,76.115,21.785,22.441,27880,32511,17076,22417,25080,20389,,14.547,0.291,45.535,35.656,17.93,43.64,27.54,36.364,35,31.949,28.846,43.275,28.6,28.481,25821,,47721,,0.541,,80.713,9.476,9.81,67.781,26.979,46.325,53.675,17.848,67.06,32.94,0,0,4.236,0,1965,825,56.724,28.117,84800,658,73.654,1693,-3.202,28039,-0.567,19.769,-11.572,74484,13.85,29.699,40.431,2.25,2.844,833,-0.975,,,2.493
17019000301,Champaign County,Champaign,61820|61825,,46.5,4450,61.169,38.831,21.4,0.539,97.371,2.09,69.685,7.506,0.157,13.775,8.404,2083,87.662,12.338,1826,4.272,1.807,40.416,2.35,0,0,93.989,57.013,0,2.409,68.182,84.472,15.528,12.022,4.876,0.562,46.656,11.342,35.706,6.946,3.272,43.513,,86.145,2.738,2.683,6947,11883,6204,4057,4554,3143,0.69,7.058,29.167,89.413,65.582,1.306,3.575,82.051,100,,85.418,,100,85.778,0,3571,4620,7027,10600,,,3.649,1.92,94.431,38.214,10.322,0.438,99.562,0.876,25.192,72.234,0,0.493,0.432,2.848,1986,826,79.428,68.812,,,100,4819,,,,,,,,,,,,,,,0,1.26
17019000302,Champaign County,Champaign,61820,,33.8,3020,57.682,42.318,23,0.033,99.636,0.331,28.046,4.967,0,55.828,8.411,1954,84.8,15.2,1657,6.216,0,54.315,1.82,0,0,95.042,71.429,0,2.493,100,49.901,50.099,42.119,5.035,5.697,57.006,4.997,16.811,21.323,3.585,47.651,,79.843,1.086,1.147,11875,16855,9711,9284,12022,7078,,10.728,0,87.351,48.543,0.828,1.954,52.427,,,68.135,,,68.362,0,4464,12891,7500,40625,,,2.917,5.834,91.249,33.265,1.689,0.604,99.396,0.604,20.579,78.938,0,0.483,0,7.664,1989,744,61.627,41.348,,,0,3372,,,,,,,,,,,,,,,0,0
17019000401,Champaign County,Champaign,61820,,47.8,5010,45.549,54.451,20,0.878,99.082,0.04,68.862,5.329,0.06,16.727,5.669,590,91.525,8.475,540,3.148,0.926,47.037,2.34,0,0,95.161,58.065,0,1.511,0,89.501,10.499,8.443,3.733,1.457,34.75,12.981,20.885,8.091,2.351,60.581,,85,0.926,0.926,10639,14802,3635,2500,2653,2500,,4.371,11.364,94.731,67.984,0.22,1.158,58.824,100,,82.011,,100,81.991,50,,2500,11333,,,,2.034,4.407,93.559,54.237,24.237,0,100,0,20.556,72.778,0,0,0,2.593,1978,821,75.741,63.333,,,,4843,,,,,,,,,,,,,,,0.08,3.148
17019000402,Champaign County,Champaign,61820,,48.9,4260,60.023,39.977,21.4,0.634,99.366,0,75.258,5.423,0.188,12.817,4.507,1395,88.53,11.47,1235,2.915,1.619,37.49,2.81,0,0,82.286,64,0,0.638,0,87.77,12.23,10.634,2.911,0.634,47.653,8.522,30.595,6.432,5.73,49.784,,88.34,0,0.891,8081,13640,5164,3708,3658,3784,,9.953,59.259,89.296,65.54,0.211,0.751,100,100,,85.858,,100,85.813,,4688,2500,10441,8409,,,6.667,3.154,90.179,47.312,14.05,0,100,0,42.672,53.198,0,1.134,0,2.996,1982,838,81.457,70.283,,,,3931,,,,,,,,,,,,,,,1.78,0
17019000500,Champaign County,Champaign,61820,,25.6,3729,54.948,45.052,33.6,12.175,80.826,6.999,75.704,4.773,0.563,10.351,4.21,2235,87.472,12.528,1955,42.711,3.887,45.371,1.9,2.203,0,95.468,62.255,17.181,2.488,34.866,86.163,13.837,10.432,4.325,1.791,72.938,8.869,60.864,8.273,7.136,6.227,,80.972,8.338,8.696,41295,63119,33605,23234,25750,19214,,13.006,3.965,76.669,62.161,5.578,8.313,14.731,30.405,0,23.787,0,25.33,25.614,0,16401,78056,48658,,0.337,,53.423,11.051,35.526,89.978,31.946,46.394,53.606,13.453,74.68,24.399,0,0,1.924,2.506,1952,704,69.847,43.607,168100,1001,60.198,3919,-2.049,41910,-1.467,8.511,0.358,173134,-2.908,23.805,13.298,-0.018,12.032,807,-12.724,,0,0
17019000700,Champaign County,Champaign,61820,,56,3797,51.646,48.354,30.1,27.969,65.947,6.084,32.631,36.371,0,2.765,26.732,1769,86.037,13.963,1522,50.526,23.259,39.356,2.49,3.575,100,76.133,15.063,6.215,8.067,48.23,79.457,20.543,18.251,27.046,11.81,74.306,13.458,55.25,10.72,4.508,13.414,,81.932,14.783,29.304,32406,37458,15365,20735,21171,20072,,32.911,17.137,34.916,31.25,7.278,32.595,25.228,35.506,26.887,28.956,24.06,40.866,25.12,15.487,20865,39643,37500,33380,0.556,,77.275,2.657,20.068,80.271,13.115,43.627,56.373,12.286,65.375,34.034,0,0,3.901,3.745,1956,697,53.846,34.033,66600,486,48.946,3650,4.915,32525,-0.366,13.171,0.287,73381,-9.241,31.082,45.628,-2.126,-4.762,781,-10.785,,20.44,7.49
17019000800,Champaign County,Champaign,61822|61820,,43,5466,43.377,56.623,29.5,24.04,68.643,7.318,39.115,26.765,0,21.222,10.483,2445,86.339,13.661,2111,54.145,10.99,30.128,2.55,3.117,31.034,87.959,47.595,4.033,7.563,30.362,73.747,26.253,17.417,11.989,9.583,75.294,15.291,68.774,9.046,0,4.958,,91.947,8.811,14.164,49382,55606,21763,26482,27465,26188,,14.94,1.674,63.564,56.085,8.052,18.744,13.561,24.324,28.852,24.875,31.172,31.431,24.96,0,19906,72059,54250,15818,0.367,0.292,48.753,7.198,44.049,25.317,4.867,35.102,64.898,7.295,36.665,63.335,0,0,0,1.516,2000,959,43.212,30,128700,1156,80.702,4844,107.986,47777,3.359,5.064,10.227,140030,-8.091,15.464,23.883,9.411,7.548,949,1.055,,8.82,3.742
17019000901,Champaign County,Champaign,61821|61824,,51.7,4518,45.927,54.073,28.2,31.917,58.389,9.695,32.072,53.32,0,3.01,8.367,2196,80.191,19.809,1761,57.922,32.425,32.822,2.57,4.891,25.397,81.362,17.364,3.953,13.495,50,95.507,4.493,2.789,2.256,1.043,68.882,11.523,65.53,14.935,2.171,3.256,,79.16,17.604,31.63,29811,39613,15899,20729,24313,18551,0.763,17.264,10.333,40.66,34.949,11.2,40.925,36.275,51.647,33.597,39.335,44.697,65.9,27.976,20.776,26538,63750,38068,21453,0.697,0.564,68.352,2.231,29.417,93.443,2.55,42.078,57.922,21.352,61.783,36.57,0,0,4.554,4.77,1963,770,51.863,27.451,84200,713,69.906,4867,1.884,28294,5.362,16.242,-4.719,86402,-2.549,34.479,40.212,4.856,25.688,770,-0.029,,0,2.215
17019000902,Champaign County,Champaign,61822,,30.5,6723,49.279,50.721,30.6,26.714,66.295,6.991,71.069,18.013,0,7.869,1.978,2766,93.89,6.11,2597,65.422,10.82,26.916,2.55,8.324,12.583,98.038,41.611,4.232,6.237,25.957,89.633,10.367,6.203,2.7,1.616,75.491,6.153,76.446,1.605,0,1.522,,89.988,13.054,4.428,57299,73947,28860,35078,40143,32088,0.799,11.617,4.232,79.935,71.709,7.378,7.616,7.652,12.124,12.134,11.512,10.847,11.35,12.789,0,36530,67891,63882,,,,74.729,12.148,13.124,6.182,1.446,64.228,35.772,3.35,69.311,30.073,0,0,0,1.579,1999,1115,36.814,17.546,160000,1261,81.595,5786,82.697,65908,-13.062,4.105,2.048,169052,-5.355,11.358,12.446,0.154,-1.096,943,18.181,,0,2.426
