ZIP,County,Special area,Latitude,Longitude,Population,Age <18,Age 65+,Housing Units,Built 1979 or earlier,Built 1939 or earlier,under 5,5 to  9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85+,Median age,Sex ratio,Age dependency ratio,White,Black,American Indian,Asian,Hispanic/Latino,Race-Ethnicity Diversity Index,Native,Foreign born,Non-citizens,Cancer incidence,Breast cancer incidence,Cervical cancer incidence,Colorectal cancer incidence,Leukemia and lymphoma incidence,Lung cancer incidence,Prostate cancer incidence,Oral cancer incidence,Educational Opportunity Index,Health and Environmental Opportunity Index,Social and Economic Opportunity Index,Overall Child Opportunity Index,Infant mortality rate,Preterm births,Low birth weight,Very low birth weight,Acute myocardial infarction hospitalizations (Chicago),"Asthma hospitalizations (<5 years, Chicago)","Asthma hospitalizations (65+, Chicago)",Behavioral health hospitalizations (Chicago),"COPD hospitalizations (45+, Chicago)",Diabetes hospitalizations (Chicago),Diabetes short-term complication hospitalizations (Chicago),Diabetes long-term complication hospitalizations (Chicago),Uncontrolled diabetes hospitalizations (Chicago),Lower extremity amputations related to diabetes (Chicago),Heart disease hospitalizations (Chicago),Heart failure hospitalizations (Chicago),Hypertension hospitalizations (Chicago),Mood disorder hospitalizations (Chicago),Preventable hospitalizations (Chicago),Substance-related disorder hospitalizations (Chicago),Schizophrenia hospitalizations (Chicago),Stroke hospitalizations (Chicago),Asthma ER visits (<5 years),Asthma ER visits (<18 years),Asthma ER visits (65+),Avoidable ER Visits,COPD ER visits (45+),Non-traumatic dental hospitalizations,Annual years of potential life lost,All cause mortality,Heart disease mortality,Cancer mortality,Female breast cancer mortality,Cervical cancer mortality,Colorectal cancer mortality,Diabetes mortality,Stroke mortality,COPD mortality,Accidents mortality,Homicide mortality,Drug-induced mortality,Alcohol-induced mortality,Suicide mortality,Acute myocardial infarction hospitalizations,Asthma hospitalizations,"Asthma hospitalizations, <5 years","Asthma hospitalizations, pediatric","Asthma hospitalizations, younger adults","Asthma hospitalizations, elderly",Behavioral health hospitalizations,COPD hospitalizations,COPD or asthma hospitalizations,Diabetes hospitalizations,Diabetes short-term complication hospitalizations,Diabetes long-term complication hospitalizations,Uncontrolled diabetes hospitalizations,Heart disease hospitalizations,Heart failure hospitalizations,Hypertension hospitalizations,Mood disorder hospitalizations,Bacterial pneumonia hospitalizations,Preventable hospitalizations,Substance-related disorder hospitalizations,Schizophrenia hospitalizations,Stroke hospitalizations,Non-traumatic dental hospitalizations,Hospitalizations,Pediatric hospitalizations,Elderly hospitalizations,Days in hospital,"Days in hospital, pediatric","Days in hospital, elderly",Hospitalization charges,"Hospitalization charges, pediatric","Hospitalization charges, elderly",Crowded housing,Speak Spanish at home,Speak English poorly,Male,Female,"Poverty rate, families","Poverty rate, families with children","Poverty rate, families with children <5",Poverty rate,Poverty rate <5,Child poverty rate,Working-age adult poverty rate,Elderly poverty rate,Household poverty rate,Labor force participation,Unemployment,High school graduation rate,College graduation rate,Per capita income,Walk Score,Hardship Index
60002,Lake County,,42.471741,-88.084493,24305,24.143,12.783,10919,49.821,11.045,5.62,7.023,6.978,7.159,5.196,4.526,5.764,6.069,8.348,8.899,6.846,7.57,7.217,4.851,3.81,1.93,1.185,1.008,41,113.4,58.5,88.64842625,1.197284509,0.016457519,2.493314133,5.315778646,0.210127213,92.83275046,7.167249537,2.485085373,554.73,75.36,4.79,54.53,43.12,91.4,72.51,11.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10.05739336,17.08150317,10.22494888,5.378816498,23.5145357,77.84971167,31.2003582,44.71613741,10.88395215,3.2281152,6.975780696,5.704507863,110.4400969,34.53750022,3.750015245,45.1597223,32.30142658,136.8487689,19.70216183,6.292163467,14.38788899,*,911.626437,217.56419,2788.008963,4649.553445,1070.779368,13819.38279,55028060.7,6890443.183,168328235.6,0.705142113,3.160556258,0.967784123,53.14132894,46.85867106,8.369646882,5.950413223,0.976709241,,,,,,8.369646882,68.9152613,8.894267131,94.28415895,29.34131737,33595,17,38.11367963
60004,Cook County,,42.11278,-87.979542,50222,22.016,16.983,20472,65.006,3.883,5.729,5.912,5.856,6.615,4.695,6.238,5.585,6.816,5.977,8.1,8.275,6.641,6.579,4.677,4.004,3.094,2.738,2.469,42.2,93.3,63.9,81.84460993,1.43960814,0.019911593,8.348930747,7.277687069,0.317567963,82.06961093,17.93038907,8.625701884,453.86,72.41,2.96,46.07,32.88,57.67,57.23,7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8.690748349,41.7101147,18.99249344,2.205446967,10.70541463,85.897793,17.45510687,27.67278916,6.148625299,1.699790688,3.922930768,2.483327788,80.29698195,20.43687441,1.808295462,55.40782181,23.4561826,89.0702781,18.56494258,8.068559632,18.08926157,0.291036144,754.6527632,219.4688131,2360.590546,4681.493351,1260.136867,12271.52757,46318032.38,7030078.451,117490383,1.580481817,5.472594783,3.842010772,48.27764725,51.72235275,3.000147427,2.329352794,0.316968893,,,,,,3.000147427,68.05757166,5.854894156,95.27338834,54.67766746,41984,73,34.84056492
60005,Cook County,,42.06449,-87.985462,30462,21.578,17.405,13149,76.264,4.654,6.963,5.289,6.162,5.371,4.346,6.812,7.649,6.241,6.805,7.229,8.138,5.686,5.906,4.803,3.509,2.689,2.695,3.71,40.9,98.9,63.9,78.66850502,2.350469437,0,7.103932769,10.39984243,0.364504084,78.63239446,21.36760554,10.14050292,471.38,75.94,3.09,51.7,32.22,55.82,56.24,10.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.993789989,18.85902876,10.14250216,*,11.24931847,98.86758935,24.47976109,39.09232347,8.600097007,1.765304054,6.211046573,4.02820704,84.29775599,18.85049006,1.702269689,55.9723118,26.09547414,102.7073242,26.59154834,13.07788592,17.99755121,0.72779051,830.904278,202.8500431,2445.396182,5425.965477,1077.640854,12634.48256,50970418.8,7091268.132,118960116.6,1.756487026,7.166296179,3.669595286,49.72096382,50.27903618,4.285147467,2.698055813,0.806771591,,,,,,4.285147467,67.76788631,8.382042784,94.5279313,48.69136254,39070,57,37.83944782
60007,Cook County,,42.0086,-87.99734,33830,20.47,15.188,14099,67.948,1.277,5.578,4.886,6.148,5.755,5.191,4.931,6.382,6.216,7.174,7.056,9.412,8.829,7.254,5.507,2.796,2.799,2.465,1.62,43.4,97,55.4,76.91398167,0.59119125,0.209872894,10.59414721,10.10641443,0.386762351,81.38043157,18.61956843,7.685486255,487.34,73.61,4.11,50.06,34.04,68.09,61.29,9.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17.21148569,30.03003003,14.92178099,13.96863821,31.62018371,102.8036294,22.23359338,47.0886238,8.666769574,1.729464699,5.898523982,4.716003932,130.8418867,39.21134909,4.358104622,57.29252727,34.34310947,157.025843,27.2430431,11.26015924,24.90444644,0.730413078,1089.779374,229.1215403,4129.424535,8310.948675,1333.333333,25339.06409,79953297.19,6939617.333,234055030.5,0.962456836,7.369376702,3.077356541,49.22849542,50.77150458,5.002263468,3.497057492,0.961973744,,,,,,5.002263468,69.62542483,6.267850652,93.56510385,35.98971722,33733,14,35.84663703
60008,Cook County,,42.069786,-88.016221,22402,22.016,12.494,9147,76.725,0.776,7.419,5.928,5.098,6.026,6.026,7.727,9.463,6.276,6.602,6.745,7.906,6.883,5.406,3.509,2.848,2.433,1.745,1.96,36.6,96.1,52.7,62.25783412,3.696098563,0,7.316311044,25.80573163,0.539036241,73.19435765,26.80564235,16.82439068,468.69,66.2,5.57,55.05,30.55,68.69,53.96,11.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13.86074268,50.1403931,29.73776696,1.953484798,26.36521599,85.10988902,28.7972852,46.77650261,15.94473791,4.214754937,10.74703136,8.29998395,92.12186287,21.24095728,3.141025568,48.12096723,33.63404367,136.1813509,22.35091298,9.43862016,19.54835628,1.200297286,911.5672766,311.5706948,2828.628323,5358.947406,1763.314409,14729.0939,49220409.53,11345919.67,137989515.2,4.885532216,22.37704918,7.107039537,49.01348094,50.98651906,8.73015873,8.130511464,1.816578483,,,,,,8.73015873,69.71301198,9.504396483,85.63904945,27.69428388,29331,46,49.49078259
60010,Lake County,,42.146498,-88.164654,44416,24.471,18.408,17076,48.677,8.046,4.586,6.813,7.707,7.425,3.661,3.055,2.866,4.906,6.597,7.916,10.073,8.58,7.407,6.171,4.764,2.994,2.6,1.878,46.5,95.3,75.1,82.59861311,0.569614553,0.051783141,10.34086816,4.723523055,0.304536086,86.20542147,13.79457853,3.917507205,517.83,81.62,2.94,50.51,37.05,51.97,85.01,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5.296005601,21.27311406,12.57398718,*,3.940762302,67.86295989,10.4987918,16.21473387,14.31954219,9.36122557,3.719261369,11.69352383,86.89522578,25.8253271,1.225379572,37.98283678,19.96930894,92.06032907,16.56710412,6.497030993,16.65292238,0.458131983,760.3516864,191.0632686,2508.180961,4270.355076,1066.335449,12926.49274,43255138.47,7065234.726,121179503.6,0.531183602,3.711744024,1.790981382,48.80673631,51.19326369,3.773436887,2.518239586,0.502078921,,,,,,3.773436887,62.39586899,6.606922409,97.17796556,64.31658389,66257,1,29.73660196
60012,McHenry County,,42.272492,-88.314084,11313,25.289,11.827,4330,30.554,3.349,3.297,5.525,10.351,8.503,5.613,2.608,2.714,6.232,6.568,11.067,11.049,8.618,6.028,4.225,2.537,1.786,1.909,1.37,43.9,95.9,59,92.90197118,0.265181649,0,2.165650137,3.473879608,0.135097154,93.945019,6.054980995,1.794395828,426.23,66.71,3.83,39.56,30.8,50.85,63.12,6.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.589590288,0,*,*,15.98834153,67.75552066,28.88822134,44.54365531,6.814406018,2.853849153,3.401849153,4.860502275,118.3494734,35.63705208,4.786558592,42.73605852,30.96360119,139.5063674,13.99116548,6.434586795,23.49368492,*,860.7885075,156.1225679,3146.135884,4013.724917,893.626937,16015.97182,31688417.03,4999076.652,119584113.2,0.576874843,2.632541133,0.283363803,48.95253248,51.04746752,1.935483871,1.228878648,0,,,,,,1.935483871,71.14522636,6.063947078,98.14495826,53.82271101,46062,11,29.67300194
60013,McHenry County|Lake County,,42.223439,-88.235506,26241,26.943,7.633,9432,44.126,6.817,6.116,7.244,7.774,8.635,5.068,4.973,4.95,5.324,6.932,10.484,10.693,7.839,6.334,3.125,1.825,1.688,0.442,0.553,39.9,100.5,52.8,87.2680157,0.926031782,0,2.389390648,8.12087954,0.231009924,92.14968942,7.850310583,3.738424603,497.06,74.22,2,54.47,35.32,65.07,70.9,11.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7.042256139,*,6.600660066,4.70677978,12.10846863,91.9894572,26.3624799,38.64108116,9.469690923,3.233280837,5.109609383,5.373097809,173.9296318,65.90657761,3.444724266,51.1538088,41.396705,185.8441562,25.61136512,8.158295722,23.44411358,*,1098.471793,216.8788307,4624.245027,6355.299946,1220.179161,23678.37184,56586814.88,9273014.111,196934314,1.268403171,5.800454619,1.988959247,50.13528448,49.86471552,5.20506881,3.610846164,0.245265022,,,,,,5.20506881,75.01481335,7.411795682,94.48505761,44.70436868,38214,7,34.94576471
60014,McHenry County,,42.232414,-88.327449,48379,25.577,11.544,18108,45.554,6.406,5.308,6.738,8.214,8.332,4.99,5.955,5.943,5.583,7.846,8.715,8.039,8.065,4.727,4.018,2.559,1.993,1.463,1.511,38.9,98.4,59,84.06540028,1.597800699,0.074412452,2.887616528,10.13869654,0.281839343,89.6049939,10.3950061,5.52719155,507.24,78.14,4.74,56.4,35.1,67.7,64.85,14.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.922015433,11.68224299,5.926404827,3.694919936,12.28166023,86.67209235,25.79736303,39.43840719,12.46807095,5.297179264,5.50568617,7.87424309,125.9570684,35.58343443,3.667386815,52.44099357,30.99789647,130.5681871,21.82818352,7.243961685,22.60260216,0.60714511,951.1042702,231.9379344,3110.309516,6396.984638,1363.342492,16654.29659,55638402.34,7860574.333,139276882.3,1.56915359,8.698784135,3.737093711,49.60830112,50.39169888,4.428627916,3.123764334,0.332147094,,,,,,4.428627916,72.12624673,7.456992994,92.26627661,40.912486,35414,61,38.2974493
60015,Lake County,,42.173822,-87.878176,27373,26.57,14.587,9913,67.558,4.772,4.749,7.489,8.527,9.053,4.355,2.535,3.514,5.403,8.037,7.288,8.589,8.435,7.438,5.432,3.05,2.013,1.611,2.481,42.7,96.1,69.9,88.52884229,0.89504256,0.058451759,4.460599861,4.946480108,0.211657507,86.95429803,13.04570197,4.964746283,492.02,87.23,2.22,41.5,45.38,45.56,68.56,7.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.953726004,*,2.749896879,*,10.28033253,60.21963615,15.19325289,20.79508694,5.214836319,1.416475228,2.54423849,1.800253912,86.43671288,25.79864807,2.579486173,35.30594172,27.79560741,94.20765856,14.07926053,5.386645269,17.99811816,0.597277917,754.4946746,156.2858059,2651.299112,3618.254612,876.7587882,13013.12362,34394623.89,5333719.442,129022473.8,0.691606413,4.587120776,2.999271277,48.99353377,51.00646623,2.355343771,1.225323349,0.204220558,,,,,,2.355343771,68.17281389,5.975212906,97.46933792,71.42460736,60933,4,29.25760777
